objectid,filename,title,creator,description,date,date_is_approximate,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pleiades0001,mg025_bx2_folder26-001.jpg,College Library to Display Gold And Silver Book,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder26-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0002,mg025_bx2_folder26-002.jpg,Gold And Silver Book,,"An explanation of the ""Gold and Silver Book"" cleaning process after thrity years.",undated,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder26-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0003,mg025_bx2_folder27-001.jpg,French Orphange Assignment,,A typed note listing the two orphans from France which the Pleiades Club had correspondence with.,undated,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0004,mg025_bx2_folder27-003.pdf,Postcard from Marthe Luttenbachen (?) to Gertrude B. Axtell,,Handwritten postcard to Gertrude B. Axtell wishing her a happy New Year.,undated,,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-003,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0005,mg025_bx2_folder27-004.jpg,Letter to Marthe Luttenbachen (?) and the Henner Family,Gertrude B. Axtell,Letter from Gertrude B. Axtell to Marthe Luttenbachen (?) and the Henner Family.,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0006,mg025_bx2_folder27-005.jpg,United States of America Customs Declaration,United States Customs,"United States of America Customs Declaration addressed to Yvette & Marie Henner of Haut-Rhine, France. The sent box included coffee, sugar, meat, and chocolate, and were from Mrs. H. L. Axtell (Gertrude B. Axtell). ",,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-005,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0007,mg025_bx2_folder27-006.jpg,Par Avion Air Mail Envelope,,"French air mail enveope. Par Avion translates to ""by plane"".",,,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-006,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0008,mg025_bx2_folder27-007.jpg,Letter from Gertrude B. Axtell to Yvette and Marie-Reine Henner,Gertrude B. Axtell,"Letter from Gertrude B. Axtell to assigned orphans, Yvette and Marie-Reine Henner. This letter outlines the General Federation of Women's Clubs of the United States idea to send correspondences to women and children living overseas. ",11/9/1946,no,correspondence;women,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-007,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0009,mg025_bx2_folder27-008.pdf,Letter from Madame Roger Dollfus to Gertrude B. Axtell.,Madame Roger Dollfus,Letter from Madame Roger Dollfus to Gertrude B. Axtell. Dollfus was the correspondent in France who set up the pen-pal assignment to Yvette and Marie-Reine Henner.,4/27/1947,no,correspondence;women,"Neuilly-sur-Seine, France",48.88722544,2.261728331,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-008,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0010,mg025_bx2_folder27-009.pdf,Letter from Marthe Luttenbachen (?) to Gertrude B. Axtell,Marthe Luttenbachen (?),Letter from Marthe Luttenbachen (?) to Gertrude B. Axtell which explains the Henner family has received the items that where sent.,undated,,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-009,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0011,mg025_bx2_folder27-010.pdf,Postcard from Marthe Luttenbachen (?) to Gertrude B. Axtell,Marthe Luttenbachen (?),Postcard from Marthe Luttenbachen (?) to Gertrude B. Axtell.,undated,,correspondence;women,France,46.58633355,2.376671567,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-010,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0012,mg025_bx2_folder27-011.pdf,Letter to Gertrude B. Axtell,(?) Jaques,"Letter written to Gertrude B. Axtell discussing the Henner girls, the letters, and the hardships experienced in France. ",5/19/1947,no,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-011,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0013,mg025_bx2_folder27-012.pdf,Letter written in French.,,Letter written in French which clearly metions Yvette and Marie-Reine Henner.,5/17/1947,no,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-012,Image;StillImage,application/pdf,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0014,mg025_bx2_folder27-013.jpg,Par Avion Air Mail Envelope,,"French air mail enveope. Par Avion translates to ""by plane"".",,,correspondence;women,"Haut-Rhine, France",47.94287644,7.229571026,"Pleiades Club records, 1892-2018",mg025_bx2_folder27-013,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0015,mg025_bx2_folder28-001.jpg,Correspondence from Frank C. Jones,Frank C. Jones,"Letter to the Pleiades Club from Frank C. Jones, the Director of Development. It discusses a donation from the club.",11/25/1968,no,correspondence;women;donation,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder28-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0016,mg025_bx2_folder28-002.jpg,Correspondence from Frank C. Jones,Frank C. Jones,"Letter to the Pleiades Club from Frank C. Jones, the Director of Development. In it he thanks the club for donating $500 to the Fund for the Performing Arts Center of the University of Idaho.",12/2/1968,no,correspondence;women;donation,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder28-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0017,mg025_bx2_folder29-001.jpg,"""One Hundred Materpieces from the French Private Galleries Presented to the Carnegie Library of Moscow, Idaho by the Pleiades Club""",Pleiades Club,"Gold display plate which was placed in the Carnegie Library of Moscow, Idaho.",1913,no,womensclubs;women;library,"Moscow, Idaho",46.73466041,-116.9945316,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0018,mg025_bx2_folder29-002.jpg,"The History of ""Cent Chefs d'Oeuvre""",Frances Prichard,Typed history of the one hundred etchings loaned to the Moscow Public Library from the Pleiades Club.,1968,yes,womensclubs;women;library,"Moscow, Idaho",46.73466041,-116.9945316,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0019,mg025_bx2_folder29-003.jpg,Public Library Started On Shoestring; Growth Steady,,News article describing the role the Pleiades Club played in starting the Moscow Public Library.,undated,,womensclubs;women;library,"Moscow, Idaho",46.73466041,-116.9945316,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0020,mg025_bx2_folder29-004.jpg,How The Moscow Public Library Began,,"Type-written paper depicting how Pleiades Club formed a committee to advocate for a public library in Moscow, Idaho. The committee appealed to Andrew Carnegie, who throughout this time had supported the establishment of public libraries across the United States. He gave $10,000 to establish the Moscow Public Library.",undated,,womensclubs;women;library,"Moscow, Idaho",46.73466041,-116.9945316,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0021,mg025_bx2_folder29-005.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-005,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0022,mg025_bx2_folder29-006.jpg,,,,,,,,,,"Pleiades Club records, 1892-2018",mg025_bx2_folder29-006,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0023,mg025_bx2_folder30-001.jpg,75th Anniversary Is Celebrated,,"Newspaper article celebrating the 75th anniversary of the Pleiads Club. It also mentions the history, and that the club is the oldest federated club in the State of Idaho. ",5/25/1967,no,newspaper;womensclub;women,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder30-001,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0024,mg025_bx2_folder30-002.jpg,Correspondence to Mary Belle Sweet,Gertrude B. Axtell,Letter written to Mary Belle Sweet from Gertrude B. Axtell. There is an additional note from Axtell below explaining that she wrote this to Sweet and Sweet kept it in her own personal papers.,undated,,correspondence;women,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder30-002,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0025,mg025_bx2_folder30-003.jpg,Letter to the  General Federation of Women's Clubs,Gertrude B. Axtell,"Correspondence to the General Federated of Women's Clubs from Gertrude B. Axtell. Here she states the Pleiades Club was founded in 1892, though early documents before 1897 were lost. ",9/9/1961,no,correspondence;women;womensclubs,"Moscow, Idaho",46.72918927,-117.0068912,"Pleiades Club records, 1892-2018",mg025_bx2_folder30-003,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pleiades0026,mg025_bx2_folder30-004.jpg,Thank You Letter,Miriam Shelton,Thank you letter addressing the Pleiades Club giving the French etchings of 1883 to the Latah County Pinoreer Historical Mussum to be displayed n the front parlor of the McConnell Mansion.,5/9/1971,no,correspondence;women;womensclubs,"Moscow, Idaho",46.73338659,-116.9964506,"Pleiades Club records, 1892-2018",mg025_bx2_folder30-004,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
